userName,at,content
Arif Sholekan,2024-10-27 15:26:24,apala papi muntun masa guwa maen awal nya doang menang terus eh pas taunya mau mitik langsung kena drak sistem 7 kali lagi pokok nya yang mental nya cupu jangan maen ml gaes
afdal afdal,2024-10-27 15:26:05,game tolol ngasih matchmaking ga ngotak tim beban musuh dikasih proplayer gw sumpahin bangkrut lu moonton amin kalau ga niat buat game ga usah buat dasar SDM rendah
iqbal 14,2024-10-27 15:24:57,selalu leg ...
Alifiyan,2024-10-27 15:24:53,geme bagus tapi pleyer nya tolong yang g bisa main di ben 100 soal nya kalo mau naik renk pasti ketemu nya tim yang g bisa main jadi nya g naik renk
Dika Saputra,2024-10-27 15:24:35,pesan untk monton!! Lu sbner nya niat gasi bikin game ? masa dpt lawan jago sedangkan tim gw dark system Mulu itupun di renk mytic. Bayangin sampe masuk RS bro gara gara gapernah tidur ngepush trs Ampe stress!! pnyakit yg di dpt!
Ari Maul,2024-10-27 15:22:23,Game sulit tolong setiap menang 1 matc pasti lawan nya tidak seimbang tolong pihak monton di perbaiki dan setiap naik bintang turun lagi kok susah sekali gak kaya dulu tolong jika tidak di perbaiki mending saya main honor off Knight saja
Bambang Bale Hermanto,2024-10-27 15:20:42,"Game babi, menang 5x lose streak 7x babi kau moonton, kasih tim yg betol babi, dapet tim yg ngetrol musuh yg pro kan babi kau"
Tasya Nur asifa,2024-10-27 15:20:23,"Moonton anying hapus aja apk ne ga berguna ngasi tim draksyistem, g pernah winstrek, moonton kikir, bintang g pernah naik², lama² gua tonjok lu moonton. Penyakit"
Idarawati sinaga Sinaga,2024-10-27 15:20:17,Game nya seru banget
Tinaherlia,2024-10-27 15:20:14,"Game burik setiap kali main dapet tim bot terus,sampe 8 kali lose streak+mvp kalah.tolong ya montoon di benerin"
Alya Makaila,2024-10-27 15:19:32,Gara² coach curang rrq kalah gara² lu rrq kalah anjinggg
Musyafa Halimpurnama,2024-10-27 15:19:03,Ok seru banget dukung sinyal nya bikin bagus dong kadang kuota wifi ok tapi suka lag
Gs Mahal,2024-10-27 15:17:53,monton gj gua kalah Mulu lol kapan menang nya
Auiao,2024-10-27 15:17:28,"Dear moonton, tolong kurangi lag/ngfreeze saat sedang draft pick, terutama saat detik 15 sebelum masuk ke game pasti selalu ngefreeze, saya rasa ini terjadi disemua hp android karena teman² saya juga mengalami hal yang sama. Tolong segera dikurang lagnya karena kredit skor saya berkurang terus karena masalah ini."
Khairun nisa,2024-10-27 15:17:28,"Plis lah jangan suka nglag tiba-tiba pas nyerang,sinyal penuh kuota penuh tapi knpa sering nglag sih mohon diperbaiki supaya kami pencinta ML ga pindah ke honor"
Rafa Nizar,2024-10-27 15:17:26,gw kalau main ga pernah imbang tim lawan terus yg di kasih tim bagus sendangkan tim gw bocak poke semua yg main ngasih tim ga pernah bener
Fitra Aalmuhajirin,2024-10-27 15:17:26,Toon akun gua kena hack gk bisa di bantu
Enny Sigik,2024-10-27 15:16:33,Woy monton kalok kasih musuh yang cuupu lah Mlah aku lose 5× tim lol
Satria Ganden,2024-10-27 15:16:23,Tolong lah montoon kalo beri tim yg imbang jangan musuh pro tim bot
Fai 2024,2024-10-27 15:15:45,Gm tai
WILDAN Abbasy,2024-10-27 15:15:35,"Game rusak asuu Setiap mau naik rank pasti di temuin orang' ngtroll, rusak rusak"
Pengguna Google,2024-10-27 15:15:26,Game sampah ya ini. Orang main game buat hilangin stres. Main game dia malah makin stres pembagian tim nya pun buruk
Gayper Projects,2024-10-27 15:15:11,GAME SETTINGAN BANYAK MAFIA GRAF RRQ KONYOL KAYA SUDAH JELAS YG MENANG LIQUID KACAU PENIPU KACAU
yudha 0583,2024-10-27 15:13:42,game silit
Miko Arya ramadhan,2024-10-27 15:12:55,Dah lah capek gua
nexson Son,2024-10-27 15:12:47,Monton sialan. Ngk fair acak permainanya bakal di tingalin org uda curang monton
Lync Luci,2024-10-27 15:12:23,Drak sistem
Erik Line,2024-10-27 15:11:31,Ok good
