userName,at,content
baby dragon,2024-10-23 03:56:48,"halo, saya suka game ini, seperti ada sedikit kekurangan, bagaimana jika dibuat seperti senjata memiliki atau mengeluarkan aura ketika sudah mencapai lv max,"
Ridho Aditiya,2024-10-23 02:56:03,Gak Bisah masuk
NineZ :V,2024-10-23 02:38:29,😋😋
Meguri,2024-10-23 02:21:01,Game baik
Sanim Syahputra,2024-10-23 01:48:50,Please tambahkan fitur nikah
Awang Razaq,2024-10-23 01:04:26,Grafik mantap gameplay seru mantap dah cuman masih kurang banyak karakter baru aja sama mapnya belum nambah
Samuel Rodrigues,2024-10-22 23:59:37,"There is offer, you give controller Support, i give 5 stars :D"
Fajarul Adin,2024-10-22 22:38:18,The best game
Yudhi Adhiutama,2024-10-22 21:22:59,game open world terbaik saat ini..
Syahrul 14,2024-10-22 20:41:47,Game nya bagus dan grafiknya memuaskan tapi yg bikin kurangnya blom ada teks bahasa Indonesia jadi sedih engga ngerti bahasa inggris juga plisss dong tambahin fitur teks bahasa Indonesia nya
seto budiman,2024-10-22 18:30:37,HBO
Z e n,2024-10-22 16:18:12,Great game. Panjang panjang game baik
Aszk Lyn,2024-10-22 14:02:13,"keren bangett!!!!! ni game, karakter nya juga cantik2 dan ganteng2"
SCREAM04 INZAGHI,2024-10-22 13:37:47,Good game
Rifky Yusuf,2024-10-22 13:03:32,Gamenya bagus banget
Kh Dar,2024-10-22 10:27:33,Mirip ghensin bro
Muhammad Novanndo,2024-10-22 08:42:39,Bagus gameplaynya keren
RAM chan,2024-10-22 07:10:02,"kuro games, apakah anda memiliki masalah tentang leakers?, jika memang benar buatlah pengumuman seperti ini "" ada leakers, tidak ada asterite """
Mizuhana Yukina,2024-10-22 06:32:11,bagus
Ran Dom,2024-10-22 06:03:44,good
Omega Batavia,2024-10-22 04:55:28,"Musik nya kek kuburan, moga di bagus in lagi"
M.Ardiansyah,2024-10-22 04:45:45,onaja
Tahuu Bakso31,2024-10-22 02:39:57,Good game
Tosi,2024-10-22 01:51:35,nice game
Krisna Pangestu,2024-10-22 01:12:38,"Menurutku gamenya udah bagus banget, tapi, mohon untuk diperbanyak untuk map-nya kalo sekali kali update gpp dah,"
Andika MR,2024-10-21 23:10:21,"Gila bangett,,, apresiasi untuk dev👏👏🥳,, membuat game yang sebagus ini, dari grafiknya, battlenya, storynya, dan masih banyak lagi,,, semuanya bagus.... Apa lagi story terbaru,, si shorekeeper,, gw ampe merinding"
PUBGM ID,2024-10-21 20:14:49,"Game baik, ga kek sebelah"
qwdr,2024-10-21 18:08:10,mangtaf
Hady Hady,2024-10-21 16:52:17,"main lagi deh ,cepat panas padahal hanya sebentar bermain:( , tolong optimalkan lagi game ini, terimakasih"
Ragil Ags,2024-10-21 16:46:27,AHHH STORY NYA SHOREKEEPER BSGUS BANGET KURO LOVE YOU!!
Aldi Dwi Waluyo,2024-10-21 16:27:36,very very very good!!!!!!!!
Ilham Arlista,2024-10-21 15:45:46,seru. grafik mantap. cerita bagus. pokoknya rekomended
Yesyurun Londa,2024-10-21 15:41:43,"Mantap banget buat grafik game nya, trs animasi gacha nya juga keren"
Muhammad Alif Syafan,2024-10-21 15:33:19,Good game
Diamond LoL,2024-10-21 15:24:17,Masterpiece
Bi Ma,2024-10-21 14:53:15,game baik
Deriansyah Deriansyah,2024-10-21 13:50:41,The best game ever
Qwanter,2024-10-21 13:13:47,gacor
Samuel Siregar,2024-10-21 13:06:26,👍👍👍
Rahman Wiyoko,2024-10-21 12:42:07,akun hilang gak bisa d buka lagi
Rifqi Miftahul,2024-10-21 11:35:43,"Suka Sama gamenya, tapi tidak tersedia bahasa indonesia, tolong tambahkan bahasa Indonesia, aku pensiun dulu sampai tersedia"
Dimas Prasetyo (Dimas),2024-10-21 10:54:26,"Game nya sangat bagus, cuma gw kurang suka kalau setingan AA dengan Refleksi disatuin Gw kurang suka AA karna keliatan blurry, tapi nonaktif nya AA malah mematikan refleksi nya juga"
Akuorang 123,2024-10-21 09:40:07,Bgs sie
Andi Ahmad,2024-10-21 09:24:35,"device rog 5/5s semakin anjlok performanya, sering VC"
Vodka,2024-10-21 08:31:40,please make a special cloud game wuthering waves
Rish,2024-10-21 08:24:33,Tolong Peribaiki Jaringannya
Bot Tumbal,2024-10-21 07:33:20,Good game (my gacha so good lose 1x)
EVOS Putra,2024-10-21 07:29:31,"dari cerita gamenya udah bagus banget tapi sayang update kali ini malah bikin lag banget padahal sebelum update masih aman aman aja tapi sekarang malah lag parah bahkan sampe force close, tolong buat developer di lebih di optimize lagi buat kaum hp chipset Helio ataupun Snapdragon. terimakasih"
Dyeri Clips,2024-10-21 07:17:29,Gacha nya kurang memuaskan
Alaziz,2024-10-21 06:46:09,Bagusan genshin
Adam 14,2024-10-21 06:44:40,"terbaik la man gila sih optimisasi dari versi sebelumnya, sekarang stabil parahh"
Ahmad Ihsan,2024-10-21 05:32:15,game baik
